Year,State,MinWage,Patents,D_MinWage,D_MinWage_Positive,D_Patents,D_Patents_Pct,D_MinWage_L1,D_Patents_L1,D_MinWage_L2,D_Patents_L2,D_MinWage_L3,D_Patents_L3
2006,Arkansas,6.61,185,-0.20999999999999996,0,32.0,0.20915032679738554,-0.22999999999999954,-7.0,-0.1900000000000004,-16.0,-0.16000000000000014,-37.0
2007,Arkansas,7.8,169,1.1899999999999995,1,-16.0,-0.08648648648648649,-0.20999999999999996,32.0,-0.22999999999999954,-7.0,-0.1900000000000004,-16.0
2008,Arkansas,7.51,152,-0.29000000000000004,0,-17.0,-0.10059171597633132,1.1899999999999995,-16.0,-0.20999999999999996,32.0,-0.22999999999999954,-7.0
2009,Arkansas,7.9,154,0.39000000000000057,1,2.0,0.013157894736842035,-0.29000000000000004,-17.0,1.1899999999999995,-16.0,-0.20999999999999996,32.0
2010,Arkansas,8.6,217,0.6999999999999993,1,63.0,0.40909090909090917,0.39000000000000057,2.0,-0.29000000000000004,-17.0,1.1899999999999995,-16.0
2011,Arkansas,8.34,188,-0.2599999999999998,0,-29.0,-0.13364055299539168,0.6999999999999993,63.0,0.39000000000000057,2.0,-0.29000000000000004,-17.0
2012,Arkansas,8.17,238,-0.16999999999999993,0,50.0,0.26595744680851063,-0.2599999999999998,-29.0,0.6999999999999993,63.0,0.39000000000000057,2.0
2013,Arkansas,8.05,229,-0.11999999999999922,0,-9.0,-0.037815126050420145,-0.16999999999999993,50.0,-0.2599999999999998,-29.0,0.6999999999999993,63.0
2014,Arkansas,7.92,259,-0.13000000000000078,0,30.0,0.13100436681222716,-0.11999999999999922,-9.0,-0.16999999999999993,50.0,-0.2599999999999998,-29.0
2015,Arkansas,8.18,307,0.2599999999999998,1,48.0,0.1853281853281854,-0.13000000000000078,30.0,-0.11999999999999922,-9.0,-0.16999999999999993,50.0
2002,California,9.71,21235,,0,,,,,,,,
2003,California,9.49,22074,-0.22000000000000064,0,839.0,0.03951024252413471,,,,,,
2004,California,9.24,21602,-0.25,0,-472.0,-0.021382622089335834,-0.22000000000000064,839.0,,,,
2005,California,8.94,19662,-0.3000000000000007,0,-1940.0,-0.08980649939820384,-0.25,-472.0,-0.22000000000000064,839.0,,
2006,California,8.66,25044,-0.27999999999999936,0,5382.0,0.27372596887397016,-0.3000000000000007,-1940.0,-0.25,-472.0,-0.22000000000000064,839.0
2007,California,9.36,22601,0.6999999999999993,1,-2443.0,-0.09754831496566041,-0.27999999999999936,5382.0,-0.3000000000000007,-1940.0,-0.25,-472.0
2008,California,9.61,22203,0.25,1,-398.0,-0.0176098402725543,0.6999999999999993,-2443.0,-0.27999999999999936,5382.0,-0.3000000000000007,-1940.0
2009,California,9.65,23356,0.040000000000000924,1,1153.0,0.051929919380264034,0.25,-398.0,0.6999999999999993,-2443.0,-0.27999999999999936,5382.0
2010,California,9.49,30079,-0.16000000000000014,0,6723.0,0.287848946737455,0.040000000000000924,1153.0,0.25,-398.0,0.6999999999999993,-2443.0
2011,California,9.2,30749,-0.2900000000000009,0,670.0,0.022274676684730155,-0.16000000000000014,6723.0,0.040000000000000924,1153.0,0.25,-398.0
2012,California,9.01,34660,-0.1899999999999995,0,3911.0,0.1271911281667697,-0.2900000000000009,670.0,-0.16000000000000014,6723.0,0.040000000000000924,1153.0
2013,California,8.88,39139,-0.129999999999999,0,4479.0,0.12922677437968844,-0.1899999999999995,3911.0,-0.2900000000000009,670.0,-0.16000000000000014,6723.0
2014,California,9.83,43679,0.9499999999999993,1,4540.0,0.11599683180459386,-0.129999999999999,4479.0,-0.1899999999999995,3911.0,-0.2900000000000009,670.0
2015,California,9.82,43609,-0.009999999999999787,0,-70.0,-0.0016026007921426944,0.9499999999999993,4540.0,-0.129999999999999,4479.0,-0.1899999999999995,3911.0
2002,Colorado,7.4,2130,,0,,,,,,,,
2003,Colorado,7.24,2305,-0.16000000000000014,0,175.0,0.0821596244131455,,,,,,
2004,Colorado,7.05,2290,-0.1900000000000004,0,-15.0,-0.006507592190889366,-0.16000000000000014,175.0,,,,
2005,Colorado,6.82,1971,-0.22999999999999954,0,-319.0,-0.13930131004366808,-0.1900000000000004,-15.0,-0.16000000000000014,175.0,,
2006,Colorado,6.61,2348,-0.20999999999999996,0,377.0,0.19127346524606792,-0.22999999999999954,-319.0,-0.1900000000000004,-15.0,-0.16000000000000014,175.0
2007,Colorado,8.55,1983,1.9400000000000004,1,-365.0,-0.15545144804088584,-0.20999999999999996,377.0,-0.22999999999999954,-319.0,-0.1900000000000004,-15.0
2008,Colorado,8.43,1866,-0.120000000000001,0,-117.0,-0.059001512859304106,1.9400000000000004,-365.0,-0.20999999999999996,377.0,-0.22999999999999954,-319.0
2009,Colorado,8.78,1966,0.34999999999999964,1,100.0,0.05359056806002149,-0.120000000000001,-117.0,1.9400000000000004,-365.0,-0.20999999999999996,377.0
2010,Colorado,8.6,2436,-0.17999999999999972,0,470.0,0.23906408952187186,0.34999999999999964,100.0,-0.120000000000001,-117.0,1.9400000000000004,-365.0
2011,Colorado,8.46,2397,-0.1399999999999988,0,-39.0,-0.016009852216748777,-0.17999999999999972,470.0,0.34999999999999964,100.0,-0.120000000000001,-117.0
2012,Colorado,8.61,2745,0.14999999999999858,1,348.0,0.14518147684605753,-0.1399999999999988,-39.0,-0.17999999999999972,470.0,0.34999999999999964,100.0
2013,Colorado,8.64,3176,0.030000000000001137,1,431.0,0.15701275045537333,0.14999999999999858,348.0,-0.1399999999999988,-39.0,-0.17999999999999972,470.0
2014,Colorado,8.74,3555,0.09999999999999964,1,379.0,0.11933249370277088,0.030000000000001137,431.0,0.14999999999999858,348.0,-0.1399999999999988,-39.0
2015,Colorado,8.98,3472,0.2400000000000002,1,-83.0,-0.023347398030942323,0.09999999999999964,379.0,0.030000000000001137,431.0,0.14999999999999858,348.0
2002,Connecticut,9.63,1991,,0,,,,,,,,
2003,Connecticut,9.7,1844,0.06999999999999851,1,-147.0,-0.07383224510296338,,,,,,
2004,Connecticut,9.72,1723,0.02000000000000135,1,-121.0,-0.06561822125813443,0.06999999999999851,-147.0,,,,
2005,Connecticut,9.4,1678,-0.3200000000000003,0,-45.0,-0.0261172373766686,0.02000000000000135,-121.0,0.06999999999999851,-147.0,,
2006,Connecticut,9.49,1857,0.08999999999999986,1,179.0,0.10667461263408828,-0.3200000000000003,-45.0,0.02000000000000135,-121.0,0.06999999999999851,-147.0
2007,Connecticut,9.54,1611,0.049999999999998934,1,-246.0,-0.1324717285945073,0.08999999999999986,179.0,-0.3200000000000003,-45.0,0.02000000000000135,-121.0
2008,Connecticut,9.19,1596,-0.34999999999999964,0,-15.0,-0.009310986964618295,0.049999999999998934,-246.0,0.08999999999999986,179.0,-0.3200000000000003,-45.0
2009,Connecticut,9.65,1661,0.46000000000000085,1,65.0,0.0407268170426065,-0.34999999999999964,-15.0,0.049999999999998934,-246.0,0.08999999999999986,179.0
2010,Connecticut,9.79,2111,0.1399999999999988,1,450.0,0.27092113184828426,0.46000000000000085,65.0,-0.34999999999999964,-15.0,0.049999999999998934,-246.0
2011,Connecticut,9.49,2121,-0.29999999999999893,0,10.0,0.004737091425864426,0.1399999999999988,450.0,0.46000000000000085,65.0,-0.34999999999999964,-15.0
2012,Connecticut,9.29,2297,-0.20000000000000107,0,176.0,0.08297972654408303,-0.29999999999999893,10.0,0.1399999999999988,450.0,0.46000000000000085,65.0
2013,Connecticut,9.16,2376,-0.129999999999999,0,79.0,0.03439268611232049,-0.20000000000000107,176.0,-0.29999999999999893,10.0,0.1399999999999988,450.0
2014,Connecticut,9.51,2502,0.34999999999999964,1,126.0,0.05303030303030298,-0.129999999999999,79.0,-0.20000000000000107,176.0,-0.29999999999999893,10.0
2015,Connecticut,9.99,2367,0.4800000000000004,1,-135.0,-0.0539568345323741,0.34999999999999964,126.0,-0.129999999999999,79.0,-0.20000000000000107,176.0
2002,Delaware,8.84,385,,0,,,,,,,,
2003,Delaware,8.65,372,-0.1899999999999995,0,-13.0,-0.03376623376623378,,,,,,
2004,Delaware,8.42,406,-0.23000000000000043,0,34.0,0.09139784946236551,-0.1899999999999995,-13.0,,,,
2005,Delaware,8.15,341,-0.2699999999999996,0,-65.0,-0.16009852216748766,-0.23000000000000043,34.0,-0.1899999999999995,-13.0,,
2006,Delaware,7.89,396,-0.2600000000000007,0,55.0,0.16129032258064524,-0.2699999999999996,-65.0,-0.23000000000000043,34.0,-0.1899999999999995,-13.0
2007,Delaware,8.3,359,0.41000000000000103,1,-37.0,-0.09343434343434343,-0.2600000000000007,55.0,-0.2699999999999996,-65.0,-0.23000000000000043,34.0
2008,Delaware,8.59,353,0.28999999999999915,1,-6.0,-0.01671309192200554,0.41000000000000103,-37.0,-0.2600000000000007,55.0,-0.2699999999999996,-65.0
2009,Delaware,8.62,343,0.02999999999999936,1,-10.0,-0.028328611898016942,0.28999999999999915,-6.0,0.41000000000000103,-37.0,-0.2600000000000007,55.0
2010,Delaware,8.6,391,-0.019999999999999574,0,48.0,0.13994169096209919,0.02999999999999936,-10.0,0.28999999999999915,-6.0,0.41000000000000103,-37.0
2011,Delaware,8.34,457,-0.2599999999999998,0,66.0,0.1687979539641944,-0.019999999999999574,48.0,0.02999999999999936,-10.0,0.28999999999999915,-6.0
2012,Delaware,8.17,485,-0.16999999999999993,0,28.0,0.06126914660831506,-0.2599999999999998,66.0,-0.019999999999999574,48.0,0.02999999999999936,-10.0
2013,Delaware,8.05,477,-0.11999999999999922,0,-8.0,-0.016494845360824795,-0.16999999999999993,28.0,-0.2599999999999998,66.0,-0.019999999999999574,48.0
2014,Delaware,8.47,466,0.41999999999999993,1,-11.0,-0.023060796645702264,-0.11999999999999922,-8.0,-0.16999999999999993,28.0,-0.2599999999999998,66.0
2015,Delaware,9.0,376,0.5299999999999994,1,-90.0,-0.19313304721030045,0.41999999999999993,-11.0,-0.11999999999999922,-8.0,-0.16999999999999993,28.0
2002,Florida,7.4,2854,,0,,,,,,,,
2003,Florida,7.24,3120,-0.16000000000000014,0,266.0,0.09320252277505259,,,,,,
2004,Florida,7.05,2991,-0.1900000000000004,0,-129.0,-0.04134615384615381,-0.16000000000000014,266.0,,,,
